Firearm Reference Number,Make,Model,Individual Amount
127621,B&T,TP9US,2925
127991,B&T,TP9 Canada,2925
90495,Wilson Combat,AR15 UT,2930
119841,Wilson Combat,AR15 TL,2930
122916,Anzio Ironworks,Anzio SS,2930
129607,POF,P416,2930
161447,State Arms Gun Company,Shorty,2930
185829,Bula Defense Systems,M14,2930
143782,Cross Machine Tool,UHP-15,2940
152989,Double Star,Star-15 Midnight Dragon,2940
168123,Cross Machine Tool,UHP15H,2940
168124,Cross Machine Tool,UHP15-PDW,2940
168125,Cross Machine Tool,UHP15SSA,2940
185882,Caracal,CAR 816 A2,2940
181623,DRD,Aptus,2950
17920,Colt,AR15A2 Government Carbine,2960
196024,Grey Ghost Precision,GGP-SBL,2960
196025,Grey Ghost Precision,GGP-SLF,2960
132190,SIG Sauer,SIG 716,2970
187282,SIG Sauer,SIG MCX Rattler Pistol,2970
197206,Genesis Arms,GEN-12,2970
197207,Genesis Arms,GEN-12,2970
57420,Diemaco,Rifle C10,2980
123093,Heckler & Koch,HKM4C,2980
127640,Heckler & Koch,HK417,2980
128296,Heckler & Koch,MR,2980
144306,Diemaco,Rifle Experimental 84,2980
147716,Noveske,Varmageddon AR,2980
153906,LWRC,M6IC PSD Pistol,2980
170802,F-1 Firearms,BDR-10-3G CA,2980
122070,VM Hy-Tech,VM50,2990
150467,American Historical Foundation,Colt AR15A2 Sporter Match HBar Vietnam Tribute Special Edition,2990
150487,American Historical Foundation,Colt AR15A2 Sporter Target Operation Desert Storm Commemorative,2990
156629,Matrix Aerospace,M-762,2990
161446,State Arms Gun Company,Mosquito,2990
162666,Lancer Systems LP,L30,2990
117283,Heckler & Koch,UMP,2995
52917,Zastava,M84 Skorpion,3000
90515,Wilson Combat,AR15 TPR,3000
121230,Wilson Combat,AR15 SM,3000
142561,Project Guns,RPD Semi-Automatic,3000
162606,Armalite,AR-10 Pistol,3000
163407,TNW,PPSH41 SA,3000
195152,B&T,GHM-G,3005
167422,Battle Arms Development,BAD-PDW,3020
119812,American Spirit Arms,ASA308,3030
160886,JP Enterprises,MBRG-13,3030
160927,JP Enterprises,MBRG-13,3030
125672,Colt,SFW,3050
197174,B&T,SPC223,3075
148082,DRD,M762,3080
150287,DRD,M762,3080
48397,JP Enterprises,Edge Grade 3,3090
123118,Barrett Firearms,M468,3090
143079,Armalite,AR-10A,3090
122852,Lakeside Machine,Vindicator BF1,3100
126463,Noveske,N4,3100
158667,Spike's Tactical,The Jack,3100
31873,Springfield Armory,US Rifle M1A National Match,3110
126684,Denel,NTW,3110
126684,Denel,NTW,3110
132767,Christensen Arms,Carbon CA-15 Recon,3120
170263,LMT,MARS LS,3120
184562,Arms East,Semi Automatic RPD MK2,3135
31867,Springfield Armory,US Rifle M1A-A1 Scout Rifle,3140
138236,JP Enterprises,SCR-11,3150
162446,Alberta Tactical Rifle,Modern Varmint,3160
187262,SIG Sauer,SIG MCX Rattler,3160
196026,Grey Ghost Precision,GGP-S Heavy,3160
125657,Colt,C8CT,3165
125660,Colt,C8A1,3165
147623,Core,Core-30,3165
140479,Wilson Combat,AR15,3170
154617,Seekins Precision,SPX,3180
17474,Colt,AR15 SP1,3190
161648,Knights Manufacturing Company,SR-15,3190
188042,ZEV Technologies,Mega-LF,3190
18460,DMax,Auto Pistol,3200
22632,Springfield Armory,US Carbine M1,3200
128614,Springfield Armory,US Carbine M1,3200
146080,JP Enterprises,JPE-15,3200
125661,Colt,C8A2,3220
121346,Les Baer Custom,Thunder Ranch Special,3230
134296,Wells & Wells,Mauser Magnum Sporter,3230
195357,Concari,Steinbock,3230
145851,Robinson Armament,XCR-M Micro Pistol,3240
153909,LWRC,M6.8 PSD Pistol,3240
34971,Colt,AR15A2 Sporter Match Delta HBar,3250
128851,JP Enterprises,CTR-02,3250
184429,Colt,AR15 M16A1,3250
194815,Radian,1,3260
131147,POF,P308,3275
141921,POF,P308,3275
170844,F-1 Firearms,BDR-15 CA Pistol,3275
137200,Robinson Armament,XCR-M,3280
126160,DMax,Auto Carbine,3300
128455,Sport Systeme Dittrich,BD42,3300
132751,Christensen Arms,Carbon CA-15 Predator,3320
165407,BPM,LR-10,3320
160026,LWRC,Six8,3350
160046,LWRC,Six8,3350
108735,Serbu,BFG-50,3380
109575,Serbu,BFG-50,3380
125684,LMT,M203,3380
144187,LMT,M2032003 FMT,3380
148502,LMT,37mm Launcher,3380
148507,LMT,40MM Launcher,3380
146190,Alberta Tactical Rifle,Modern Hunter Prototype,3385
149826,Alberta Tactical Rifle,Modern Hunter,3385
119778,Bushmaster,XM15E2S DCM Competition Rifle,3390
170843,F-1 Firearms,BDR-15-3G CA Pistol,3390
174943,Billet Rifle Systems (BRS),BRS-47,3390
195976,Daniel Defense,DD5,3390
151333,War Sport,LVOA,3395
3756,FN,CAL,3400
19655,Heckler & Koch,SL6,3400
118664,FAMAE,MINI SAF SA,3400
125499,Heckler & Koch,MP7A1,3400
135881,Special Weapons,SW760,3400
153849,Les Baer Custom,AR IPSC Action,3400
169102,Les Baer Custom,Match AR,3400
195824,Auto Ordnance,M1A1 Carbine Airborne WW2 Commemorative,3400
137364,Mega Arms,MEGA MA-Ten,3410
125704,FN,FS2000,3435
129192,FN,SCAR 16S,3450
143001,FAMAE,SG543-1 ERE Tactical Elite,3450
146640,Les Baer Custom,Match,3450
150428,American Historical Foundation,Auto Ordnance M1 Carbine US Air Force Commemorative,3450
117241,Les Baer Custom,Ultimate AR,3460
153848,Les Baer Custom,AR Super Match,3460
156886,War Sport,LVOA Pistol,3460
168126,Cross Machine Tool,UHP-10,3460
196996,B&T,APC9K,3470
197126,B&T,APC9,3470
133580,Bushmaster,BACR,3475
61058,Armscorp,US Rifle M14 National Match,3480
195372,Concari,Royal,3480
125550,Rock River Arms,LAR-10,3490
195275,Barrett Firearms,REC10,3490
27217,Universal,2200 Leatherneck,3500
118426,FAMAE,SAF SA,3500
142985,FAMAE,SG540-1 ERE Elite,3500
143000,FAMAE,SG542-1 ERE Elite,3500
146047,FAMAE,SG542-1 SA,3500
194708,Tavor,7,3500
195822,Auto Ordnance,M1 Carbine D-Day 75th Anniversary Commemorative,3500
147273,Colt,C8 CSC SCC,3505
134618,Next Generation Arms,MFR,3510
134619,Next Generation Arms,MP168 SPC,3510
141419,F&D Defense,FD308,3510
129366,LWRC,SABR,3530
122286,Robinson Armament,M96 Recon,3535
57439,Prairie Gun Works,LRT2SS,3540
136815,LWRC,M6/M6A2 DMR,3545
177263,POF,CMR,3550
136602,Vltor Weapon Systems,VR,3560
121319,DPMS,LR-308 Panther,3570
122834,East Ridge/State Arms Gun Company,Big Bertha,3580
133151,Tactical Rifles,Government,3580
150726,FAMAE,SG540-1 TI,3600
24870,Penn Arms,L837,3610
121484,Advanced Combat Systems,Hezi SM-1,3615
123161,Cavalry Arms,CAV-15 Trooper,3615
152786,CMMG,MK-4 Pistol,3615
156869,Devil Dog Arms,DDA-15BS,3615
184942,Colt,C8 IUR RCMP,3615
3080,Weatherby,MARK V Lazermark,3630
29914,Weatherby,MARK V Lazermark,3630
165406,BPM,CQB-10,3630
168823,American Defense Manufacturing,UIC 10A,3630
180422,Cobalt Kinetics,CARS,3630
197967,Adler,J-220,3637
132062,LMT,LM308MWS,3640
171722,B&T,APC9-SA,3670
196335,Colt,C20,3670
143559,NEMO,Battle Light,3680
124942,Zastava Arms,MG42S,3700
129022,SRM Arms,1216,3700
150727,FAMAE,SG543-1 TI,3700
154406,Zastava,M84A,3700
83771,Unknown,Sporter,3730
120096,Voere,2002XXL,3730
133819,Tactical Rifles,Tactical SVR,3740
165769,Salient Arms International,SAI-T2,3740
165770,Salient Arms International,SAI-T2,3740
165782,Rock River Arms,LAR-15 Texas,3740
170782,F-1 Firearms,BDR-10 CA,3740
181062,Salient Arms International,GRY,3740
162567,Battle Arms Development,BAD556-LW,3750
195710,DRD,D8,3760
129432,LaRue Tactical,LT-15,3770
142350,Precision Firearms,PF15,3770
154426,Precision Firearms,PF-X08,3770
129517,SMOS,Rogue-50,3785
129517,SMOS,Rogue-50,3785
170742,S F Armory,RDR-MK1,3785
24863,Penn Arms,P837,3790
196233,Q,Sugar Weasel,3795
139318,SRM Arms,12,3800
163206,Fulton Armory,M14,3850
173762,Falkor Defense,FD-15A,3860
3018,Weatherby,MARK V Deluxe,3865
3079,Weatherby,MARK V Deluxe,3865
39531,Weatherby,MARK V Deluxe,3865
162252,Gilboa,DMR,3870
41686,State Arms Gun Company,Rebel,3890
186043,Christensen Arms,Carbon CA-10 G2,3890
117595,Weatherby,MARK V DGR,3900
122844,Bluegrass Armory,Viper XL,3900
129142,LAR Manufacturing,Grizzly T-50,3900
142624,Sterling Cross Defence Systems,Wartak Reaper MARK 1,3900
196758,B&T,SPC9,3910
27710,Smith Enterprises,US Rifle M14 National Match,3920
27756,Smith Enterprises,US Rifle M14,3920
147243,Boberg,CDH-15,3920
140978,Poly Technologies,T97NS Prototype,3950
18369,United Defense,S5,3955
68827,German Anti-Tank Rifle,1918 Antitank Rifle,3955
152106,CMMG,MK-47,3955
156188,Heckler & Koch,MR308,3955
141780,Ferfrans,SOACR,3970
196979,Poly Technologies,RPD-SA,3975
136139,Cadex,CDX-15,3980
176608,GAC Rifles,Big One,3980
163207,Fulton Armory,M21,3985
195297,Grey Ghost Precision,GGP-S Grim,3990
126519,Sport Systeme Dittrich,BD44,4020
179502,POF,P300,4040
169783,Bula Defense Systems,XM21,4070
186162,CMMG,MkGs,4070
148469,NEMO,Battle Light 1.0,4080
147548,Ares Defense Systems,Ares-15 MCR,4090
171324,MG Arms,Taranis Light,4090
130116,LWRC,M6/M6A1,4095
66925,Hotchkiss,Universal,4100
149488,GA Precision,GAP-10,4100
87298,Stoner,SR-15,4110
136229,Stoner,SR-15,4110
189362,Big Horn Armory,AR500,4115
120405,Garys Gunsmithing,Phoenix,4125
187402,Wilson Combat,AR-10,4150
119482,Swiss Arms,Classic Green,4160
128746,Rippel Effect,XRGL40,4160
183362,Rippel Effect,LL40,4160
185828,Bula Defense Systems,M21 DMR,4180
194914,LRB Arms,T44E4,4180
119587,Swiss Arms,Black Special,4200
129193,FN,SCAR 17S,4200
177862,B&T,KH9,4200
194839,FN,SCAR 20S,4200
24861,Penn Arms,L640,4210
31875,Springfield Armory,US Rifle M1A Super Match,4220
147604,Christensen Arms,Carbon CA-10 DMR,4220
194565,Voere,X3,4225
186042,Christensen Arms,Carbon CA-15 G2,4240
24852,Penn Arms,P540,4250
131288,JP Enterprises,LRP-07,4290
131462,EAA,SAB92SF,4310
156191,Heckler & Koch,MR223,4315
136777,Tactical Rifles,Tactical SPG,4320
147549,Ares Defense Systems,Ares-15 MCR Sub-Carbine,4320
137704,Les Baer Custom,Ultimate,4330
137456,Christensen Arms,Carbon CA-10 Recon,4340
3036,Weatherby,MARK V Europa,4350
147264,Voere,XXL,4350
194366,Nord Arms,NA-308,4370
130341,LaRue Tactical,LT-762,4380
133207,Armalite,AR-50A1,4390
172742,LWRC,CSASS,4400
195491,Landor Arms,BPX 903,4400
161448,State Arms Gun Company,Competitor 2000,4420
124395,LRB Arms,M14SA US Rifle,4430
124407,LRB Arms,M25,4465
134637,Physics Applications,Universal Receiver,4475
149730,Rockola,US Carbine M1,4475
125671,Colt,Eagle,4490
125680,Colt,M203,4490
126477,Colt,M79,4490
27477,Universal,1941,4500
31869,Springfield Armory,US Rifle M21,4500
117330,US Ordnance Incorporated,Vickers MARK 1,4500
162611,Lakeside Machine,Browning M1917 1/2 Scale,4500
162612,Lakeside Machine,Browning M1919A4 1/2 Scale,4500
164333,Tomahawk,W13,4500
137403,Seekins Precision,SP223,4520
143387,Umbrella Corporation,AR15,4520
143389,Umbrella Corporation,AR15,4520
194855,Seekins Precision,SP223,4520
147899,B&T,APC300,4540
136140,Cadex,AR15 Karpat SPVM,4570
15838,MOCO,M1 Carbine,4600
162613,Lakeside Machine,Browning M1919M37 1/2 Scale,4600
162614,Lakeside Machine,Browning M2 Heavy Barrel 1/2 Scale,4600
25758,Rock Island Armory,US Carbine M1,4650
147732,Miller Precision Arms,MPA556,4680
147902,B&T,APC223,4700
181143,B&T,APC223-SA,4700
195939,B&T,APC-G SA,4700
44009,Armalite,AR-50,4760
124218,Swiss Arms,Classic Green CQB,4770
118074,Anzio Ironworks,Anzio 50 CM1,4790
122917,Anzio Ironworks,Anzio 50,4790
122918,Anzio Ironworks,Anzio 50,4790
129135,Anzio Ironworks,Anzio 14.5,4790
136657,DSA Incorporated,RPDS,4800
142419,DSA Incorporated,RPDS,4800
171302,MG Arms,K-Yote,4800
124219,EDM Arms,96 Windrunner,4810
137518,LMT,L129A1,4810
171102,GA Precision,GAP-10 G2,4840
4638,Kimber,89 African,4850
147803,Thureon Defense,XA Pistol,4850
126479,Cloud Mountain,502 Thunder Boss,4860
29836,McMillan,Talon Safari,4870
123028,Harris & McMillan,Talon Safari,4870
141158,Christensen Arms,Carbon CA TAC 10,4870
147733,Miller Precision Arms,MPA762,4880
194707,Noveske,N6,4900
141398,DRD,Paratus,4940
147808,Turnbull Manufacturing,TAR-15,4940
194723,B&T,APC308-SA,4955
124641,Ligamec,Ultralite50,4970
126478,Cloud Mountain,502 Big Bore Canyon,4970
189925,CK Arms,CKAR-9,4970
142842,Noreen Firearms,Noreen BN36,5000
35922,Manville,Manville Gas Gun,5020
166825,Albert Arms,ALR,5080
175324,Grey Ghost Precision,Cornerstone,5085
196473,Limcat,Tron,5085
129572,LWRC,REPR,5110
29852,Harris Gunworks,Talon Safari,5170
136112,Cadex,CDX-10,5170
146541,Sword International,MARK 17 Model 0,5180
48242,JP Enterprises,JP-15,5200
68750,Russian Anti-Tank Rifle,PTRD41,5230
178102,Troy Defense,Troy Rifle M10A1,5255
194805,Stoner,SR-30 SBR,5255
128698,Halo Arms,HA50 LRR,5270
128270,Socom Firearms Corporation,Leonidas AR10,5310
128696,Halo Arms,HA50 FTR,5330
153847,Les Baer Custom,Monolith SWAT,5330
135550,Montana Rifle,1999 DGR,5345
135761,Rhino Arms,RA-5,5375
196760,MARCOLMAR Firearms,CZ VZ59,5390
57697,Prairie Gun Works,M18 Ti,5400
28301,Parker Brothers,PH,5410
68744,Russian Anti-Tank Rifle,PTRS41,5420
145141,Russian Anti-Tank Rifle,PTRR39,5420
196292,McCutchen Firearms,MF-1000,5440
196293,McCutchen Firearms,MF-1000,5440
120040,FEG,KGPF,5450
124412,Ramo,600,5450
161267,Noreen Firearms,BN408,5470
194242,Auto Ordnance,World War II Remember Pearl Harbor M1 Carbine Commemorative,5500
153026,Desert Tech,HTI,5550
129450,Lawton Machine,8000,5595
153968,Montana Rifle,1999 SCR-SS,5595
176607,GAC Rifles,Thunder,5595
182802,Lobaev Arms,SVLK-14S,5595
188822,Ashbury Precision Ordnance,VX,5595
145142,Russian Anti-Tank Rifle,PTRSh,5610
139842,Heckler & Koch,G28,5650
146540,Sword International,MARK 16 Model 0,5670
146542,Sword International,MARK 18 Model 0,5670
178363,Taran Tactical,TR-1,5720
195999,Q,Honey Badger,5785
196232,Q,Honey Badger,5785
59397,Robinson Armament,M96 Expeditionary Rifle,5800
186922,LWRC,REPR MARK 2,5850
91415,Beretta,1918/30,6000
136658,Wise Lite Arms,RPD Semi-Automatic,6000
131550,Desert Tactical Arms,HTI,6020
120434,Parker Brothers,DHE,6080
154846,Turnbull Manufacturing,TAR-40,6085
26156,Reising,60,6135
117460,Springfield Armory,US Rifle M25,6180
3074,Weatherby,MARK V Euromark,6215
29900,Weatherby,MARK V Euromark,6215
121754,CheyTac,CheyTac,6215
74772,Stoner,SR-25,6330
182882,Lobaev Arms,DXL-4,6465
160348,Turnbull Manufacturing,TAR-10,6490
91295,Beretta,1918,6500
130517,SaskSten,Sten MARK 3,6500
145433,TNW,1999 ASR,6500
174926,Fightlite Industries,MCR,6500
143560,NEMO,Omen,6530
122914,Anzio Ironworks,Anzio 50 Lightweight,6660
15533,Azerbaijani Sniper Rifle,Istiglal IST 12.7,6730
15824,Modulo Masterpiece,Wizard Extreme Long Range Match,6730
19285,Truvelo,CMS 12.7,6730
19287,Truvelo,CMS 14.5,6730
45344,Zastava Europe,M93,6730
48406,McBros,50 BMG Benchrest,6730
55256,Prairie Gun Works,LRT3REP,6730
57437,Prairie Gun Works,LRT3SS,6730
57798,Prairie Gun Works,LRT50,6730
103415,RAD,M650 SLAMR,6730
118043,AAO,2000,6730
119426,Prairie Gun Works,LRT50,6730
119956,FN,Hecate 2,6730
119958,FN,Nemesis,6730
120259,Truvelo,SR50,6730
120315,Pietsch,P B 50 Canadian,6730
120938,ZVI,OP96,6730
120939,ZVI,OP99,6730
122833,Alberta Tactical Rifle,Big Bertha,6730
123103,Armtech,BM50,6730
124739,Saxonia,Big Valve M2,6730
125163,JRS,510,6730
126220,Safety Harbor Firearms,SHF/R50,6730
126221,Safety Harbor Firearms,Ultra Mag 50,6730
126497,Triple Action,Thunder 50,6730
126607,EAA,M93 Black Arrow,6730
126803,Barnard,GP,6730
126849,Zastava Arms,M93 Black Arrow,6730
127408,Hagelberg,FH50,6730
127829,PGM Precision,Hecate 2,6730
127994,AMSD,OM 50 Nemesis,6730
128040,Alberta Tactical Rifle,AT50,6730
128464,Rib Mountain Arms,92,6730
128992,Odessa,Patriot 50,6730
129091,Karta Tool,Frenchy 1 Prototype,6730
129495,Alberta Tactical Rifle,ATSHL Prototype,6730
132534,Safety Harbor Firearms,SHF/S50,6730
133277,Gun Room Company,Noreen ULR,6730
134079,Canstar Arms,CS 50,6730
134996,Omni,Windrunner,6730
135976,Canstar Arms,CS1 Prototype,6730
135977,Canstar Arms,CS2 Prototype,6730
136555,BAT Machine,EX,6730
139385,McBros,50 BMG Tactical,6730
139387,McBros,50 BMG Tactical,6730
141239,Canstar Arms,CS 50-2,6730
142740,Tactical Machining,TM-SS,6730
143814,Croatian Service,MACS M3,6730
143815,Croatian Service,MACS M4,6730
144009,Tarnow,WKW,6730
144041,Tasko,7ET3,6730
144084,Czech Weapons,CZW 127,6730
144123,Degtyarev,ASVK,6730
144132,Helenius,RK97,6730
144133,Helenius,RK99,6730
144139,Helenius,RK99 MARK 1,6730
144141,Alpimex,APK 12.7,6730
144279,RAD,M614,6730
145062,Poly Technologies,M99,6730
145064,Poly Technologies,M99B,6730
145112,China South Industries Group,AMR-2,6730
145113,Norinco,JS 05,6730
145114,China South Industries Group,LR2A,6730
145116,Kovrov,SVN-98,6730
145117,Ballard,SB500,6730
145144,German Anti-Tank Rifle,PzB42,6730
145299,Degtyarev,ASVK,6730
145882,BCM Europearms,Extreme,6730
145911,BCM Europearms,MAAR Extreme,6730
145914,BCM Europearms,STD Extreme,6730
146074,Azerbaijani Sniper Rifle,Istiglal IST 14.5,6730
146460,Elite Machining,Elite 50,6730
158827,Semtecx,Single Shot Pistol,6730
159910,Caracal,CS50,6730
177322,Alberta Tactical Rifle,ATSHL,6730
177383,Norinco,CSLR5,6730
181322,Defence Industries Organization,AM-50,6730
193342,Ursus Firearms,Kodiak,6730
195900,Tech Designs,Kodiak,6730
45844,Barrett Firearms,99,6745
134240,Steyr-Mannlicher,HS50M1,6750
28292,Parker Brothers,GH,6780
142747,TNW,Browning M37,6800
147726,Ohio Ordnance Works,HCAR,6800
156187,Heckler & Koch,HK243,6800
114536,"Fortmeier, Heinrich",2001,6920
145118,"Fortmeier, Heinrich",2002,6920
24443,Sima Cefar,MGP14,7000
117453,Heckler & Koch,G36,7000
130143,SaskSten,Sten MARK 2 Rotary Magazine Model,7000
140067,Wise Lite Arms,Goryunov SA43,7000
151006,Heckler & Koch,G36,7000
118380,Prairie Gun Works,Timberwolf Tactical,7090
123952,EDM Arms,SA-01 Windrunner,7120
121348,Evolution USA,Phantom 3,7150
178062,DRD,Kivaari,7150
129273,Stoner,MARK 11 Model 0,7270
135796,Stoner,XM110,7270
136178,Stoner,MARK 11 Model 1,7270
183962,Falkor Defense,FD-30A,7280
47346,Boys,MARK 1,7290
47347,Boys,MARK 1,7290
47348,Boys,MARK 1,7290
47351,Boys,MARK 1,7290
125624,Ares Defense Systems,Ares-15,7330
196534,Rhodesian Submachine Gun,M77,7400
120647,MAG,GS97,7460
28668,Lefever,F,7470
121118,Mitchells Mausers,M93 Black Arrow Target,7480
121804,Cobb,FA50,7480
121807,Cobb,FA50(T),7480
125909,Cobb,BA50,7480
124986,Rapid Fire,Browning M1919A4,7500
196637,SDM,SMG9,7500
198772,Sulun Arms,SG-105-20,7500
136576,Heckler & Koch,MR762A1,7510
147730,Miller Precision Arms,MPA300 Guardian,7510
120945,Heckler & Koch,G36K,7600
117257,Heckler & Koch,G36P,7700
120064,Schuerman Arms,SA40,7760
45845,Barrett Firearms,98,7800
128201,Heckler & Koch,G36KV,7800
146182,AXTS,AX556,7850
133105,Thor Global Defense Group,408 XM Series,7880
30130,Weatherby,MARK V Safari Custom,7950
32514,Weatherby,MARK V Safari Custom,7950
32516,Weatherby,MARK V Safari Custom,7950
64062,Northwest Imports,Browning M2 Heavy Barrel,8000
64062,Northwest Imports,Browning M2 Heavy Barrel,8000
127747,Bushmaster,BA50,8000
130589,SaskSten,Sten/Suomi FRT,8000
196117,Radom,Grot,8000
127677,Steyr-Mannlicher,HS460,8050
28285,Parker Brothers,DH,8110
129133,Anzio Ironworks,Anzio 20,8130
142840,Noreen Firearms,Noreen Bad News,8130
158786,Anzio Ironworks,Anzio 20,8130
117328,US Ordnance Incorporated,Browning M1919A6,8300
117329,US Ordnance Incorporated,Browning M1919A4,8300
124413,Ramo,650,8310
71015,Sterling,MARK 4 Police Carbine,8350
129770,Accuracy International,AX,8370
120436,Parker Brothers,GHE,8440
44194,Ohio Ordnance Works,BAR M1918A3,8500
44723,Valkyrie Arms,Browning M1919A4,8500
128917,BRP,MG42SA,8500
130588,SaskSten,Sten New Zealand Pattern,8500
139020,British Mortar,ML-3 Inch,8580
169587,British Mortar,ML-4.2 Inch,8580
121732,Spider Firearms,Ferret 50,8700
121752,CheyTac,M300 Shiloh,8700
198800,Milkor USA,MGL-LTL,8710
60657,Zanardini,Bristol 409 Express,8780
142000,Ohio Ordnance Works,BAR A1918,8800
47345,Boys,MARK 1*,8970
47349,Boys,MARK 1*,8970
47352,Boys,MARK 1*,8970
122947,Zastava,M93,9000
147444,Sword International,MARK 18 Model 0 Mjolnir,9090
77831,Smith & Wesson,M1940 MARK 2,9300
60578,RPA,Quadlock,9310
128468,CheyTac,M200,9325
128897,Lawton Machine,8500,9325
122982,Steyr-Mannlicher,HS50,9360
118061,EDM Arms,XM-107 Windrunner,9430
150046,CheyTac,M300,9445
16341,Alpine,M1 Carbine,9490
37834,Tippmann Arms,Browning M1917 1/2 Scale,9500
150026,CheyTac,M300 Intervention,9695
128689,Jard,J50,9880
182648,Jard,J51,9880
4633,"Dumoulin, Henri & Fils",Imperial Magnum,9945
32475,Weatherby,MARK V Custom,9945
121746,CheyTac,M100 Intervention,9945
121753,CheyTac,M400 Shiloh,9945
125377,CheyTac,M310,9945
125378,CheyTac,M310,9945
128807,EDM Arms,408 XM Series,9945
130509,Barnard,P Chey,9945
28167,Purdey,Double Barrel Rifle,0
56756,Walther,WA2000,0
25204,Spendal,Double Rifle,0
196468,Wells Custom Gunmakers,Browning M1919A4,0
37839,Tippmann Arms,Browning M2 Heavy Barrel 1/2 Scale,0
57898,Westley Richards,Single Under-Lever Rifle,0
58397,"Grant, Stephen & Sons",Double Barrel Rifle,0
2568,Volks Gewehr,VG1-5,0
165028,Gepard,GM6 Lynx,0
165028,Gepard,GM6 Lynx,0
122289,"Searcy, B",Double Barrel Rifle,0
123661,Heym,88B/SS Jumbo,0
124649,Medwell & Perrett,Double Barrel Rifle,0
119312,Ohio Ordnance Works,Browning M1928 Colt,0
52260,Demas,Azur,0
60256,FAMARS,Africa Express,0
86838,Szecsei & Fuchs,SSS,0
121676,SIG,SK46,0
38095,Parker Brothers,B,0
177724,Swiss Arms,Classic Green Sniper,0
120431,Parker Brothers,CHE,0
136016,Sero,GM6 Lynx,0
136016,Sero,GM6 Lynx,0
136656,US Mortar,XM224E3,0
60238,FAMARS,Venus Express,0
60604,Zanardini,Oxford 407SL Express,0
124643,Ligamec,USA50,0
60617,Zanardini,Oxford 403SL Express,0
198529,Aero Precision,Texas,0
128444,Solothurn,S18-1000,0
128445,Solothurn,S18-100,0
195379,Concari,4,0
161986,Desert Ordnance,M60E4,0
196848,Victrix Armaments,Corvo,0
128456,Ohio Ordnance Works,M240SLR,0
143845,Mountain Machine Works,AR-180B,0
125760,AMP,DSR 50,0
136419,Swiss Arms,SAN511,0
122278,Valkyrie Arms,Browning M2 Heavy Barrel,0
122278,Valkyrie Arms,Browning M2 Heavy Barrel,0
27754,Webley & Scott,Wild Fowl Gun,0
89155,McBros,50 BMG Sporter,0
89175,McBros,50 BMG Sporter,0
28280,Parker Brothers,BH,0
38099,Parker Brothers,D,0
32477,Weatherby,MARK V Custom,0
129274,Stoner,M110,0
136177,Stoner,M110,0
198001,Andro Corp Industries,ACI-15,0
127312,US Mortar,M2,0
127314,US Mortar,M2,0
127315,US Mortar,M2,0
127316,US Mortar,M1,0
127317,US Mortar,M1,0
127318,US Mortar,M1,0
37773,Accuracy International,AW50,0
187922,St George Arms,Leader 50 A1,0
187922,St George Arms,Leader 50 A1,0
130849,US Ordnance,M6 37MM Gun,0
171782,MG Arms,Behemoth,0
38105,Parker Brothers,G,0
158307,Allied Armament,Browning M3 Aircraft,0
158307,Allied Armament,Browning M3 Aircraft,0
43512,McMillan Brothers,TAC-50,0
45463,McMillan Brothers,TAC-50,0
4632,"Dumoulin, Henri & Fils",Imperial Magnum Grand Luxe,0
120313,Pfeifer Waffen,Zeliska,0
2439,Smith & Wesson,M1940,0
158308,Allied Armament,Browning M2 Heavy Barrel,0
158308,Allied Armament,Browning M2 Heavy Barrel,0
147562,Accuracy International,AX50,0
160874,Grande Armeria Camuna (GAC),Thunder,0
139864,SIG Sauer,SIG 50,0
159267,SIG Sauer,SIG 50,0
4929,Heym,Express,0
139401,McMillan Brothers,50 BMG Benchrest,0
139402,McMillan Brothers,50 BMG Sporter,0
139404,McMillan Brothers,50 BMG Sporter,0
139405,McMillan Brothers,50 BMG Tactical,0
139406,McMillan Brothers,50 BMG Tactical,0
25002,Franchi,LF57 Police,0
34480,MK Arms,MK760,0
117419,TNW,MG34,0
147603,Christensen Arms,Carbon Ranger,0
123438,Accuracy International,AS50,0
89035,Robar,RC-50,0
28283,Parker Brothers,CH,0
131107,Stillers Precision Firearms,TAC408,0
131168,Stillers Precision Firearms,TAC408,0
129882,Plainfield Machine,M3 Carbine,0
64203,TNW,Browning M2 Heavy Barrel,0
64203,TNW,Browning M2 Heavy Barrel,0
119419,Lahti,39,0
4628,"Dumoulin, Henri & Fils",Imperial Magnum Sovereign,0
35211,Weatherby,MARK V,0
35213,Weatherby,MARK V,0
77171,"Casartelli, Carlo",Africa,0
118557,Nesika,M,0
118558,Nesika,M,0
145119,Vigilance Rifles,VR1,0
120424,Parker Brothers,BHE,0
181402,Motiuk Manufacturing,MG3-S,0
28354,Parker Brothers,T,0
15837,Modulo Masterpiece,Wizard Snap Long Range Match,0
4586,"Dumoulin, Ernest",Continental 1,0
37836,Tippmann Arms,Browning M1919A4 1/2 Scale,0
45004,Northwest Imports,Browning M1919A4,0
28350,Parker Brothers,U,0
129250,RPA,Rangemaster 50,0
57438,Prairie Gun Works,LRT2REP,0
121748,CheyTac,M200 Intervention,0
123803,CheyTac,M400,0
160875,Grande Armeria Camuna (GAC),Big One,0
127181,Sport Systeme Dittrich,BD42 (H),0
162426,Cadex,CDX-50 Tremor,0
139389,McMillan,TAC-50,0
139420,McMillan,50 BMG Benchrest,0
132227,McMillan,TAC-416,0
196133,Cadex,CDX-X100,0
74789,Stoner,SR-50,0
