Firearm Reference Number,Make,Model,Individual Amount
154726,Specialized Tactical Systems,SX3,1490
180883,Troy Defense,Troy M4A1 SOCC,1490
194622,Alberta Tactical Rifle,Modern Sporter,1490
197384,Grand Power,Stribog SP9A3,1490
197386,Grand Power,Stribog SP9A3S,1495
21305,Plainfield Machine,M1 Carbine,1500
26851,McDuffee Arms,15-Mar,1500
29635,McDuffee Arms,MLR308,1500
33776,DPMS,A-15 Panther Bull Twenty-Four Special,1500
64204,TNW,Browning M1919A4,1500
124010,Auto Ordnance,M1 Carbine,1500
125235,Beretta,Rx4 Storm,1500
126512,Vulcan Armament,V50SS,1500
133175,Cavalry Arms,CAV-15 MARK 2,1500
133493,Delaware Machinery,AR15,1500
139614,Motiuk Manufacturing,MRC-15,1500
141381,Derya Arms,MK10,1500
146276,Lever Arms,LA-K12 Puma,1500
169042,Jard,J67,1500
186062,Standard Manufacturing,SKO,1500
196276,Spectre Ltd,WS-MCR,1500
197368,Poly Technologies,Type 81SR,1500
127970,DPMS,LR-6.5 Panther,1510
135018,Armalite,SPR Mod 1,1510
144085,BPM,BP15,1510
15702,Maxim Firearms,B7075,1520
18357,United Defense,S7,1520
20600,Luvo,BL-15LE,1520
20602,Luvo,LA-15,1520
21304,Palmetto Armory,BH15A1,1520
24384,Jard,J15,1520
24934,SGW,AR15A1,1520
24935,SGW,XM15A1,1520
26230,Rock Island Armory,XM15E2,1520
26231,SGW,AR15,1520
26232,SGW,AR15A2,1520
26233,SGW,CAR15,1520
26234,SGW,CAR15 AR,1520
26236,SGW,Ultra Match Rifle,1520
53499,SGW,K3B,1520
70910,Rock Island Armory,M15A1,1520
86606,M2,M16C,1520
86607,M2,M16SP,1520
86608,M2,M16X,1520
86609,M2,M16Z1,1520
86610,M2,M4N,1520
86611,M2,Patrol,1520
118802,America Remembers,Colt AR15A2 Match HBar Vietnam Commemorative,1520
119769,Armscorp,AC-15,1520
121527,Shooting Edge,OA15,1520
121736,Oberland Arms,OA15,1520
124263,ShoeLess Ventures,FAB10,1520
124379,Armitage International,BR-15-A6S,1520
124676,RND,Edge,1520
125562,Web Arms,WA-15,1520
125584,Wilson Tactical,WT-15,1520
125708,CLE,MR15,1520
127817,Dow,FAL-15,1520
127845,Imperial Defence Services,M16A3,1520
128463,Oberland Arms,OA10,1520
128499,Safir,T14,1520
128693,Sabertooth Defence,M4,1520
128804,Luvo,BL-15LE1,1520
128969,Alberta Tactical Rifle,AT15,1520
129069,DTI,DTI-15,1520
129152,Knights Armament Company,PDW,1520
129259,Socom Firearms Corporation,Recon AR15,1520
129379,Armtech,X,1520
129505,Red River Tactical,RRT-TAC15,1520
129513,Six Sigma Arms,P18-32,1520
129518,SMOS,SM-15,1520
129521,SMOS,Rogue-15,1520
129988,Lone Wolf R & D,LWD-AR9G Pistol,1520
129992,Lone Wolf R & D,LWD-AR9G,1520
131657,Poly Technologies,Type CQ-A Semi-Automatic Rifle,1520
132377,Jager,AP74,1520
133278,Gun Room Company,Noreen Bad News,1520
133441,Desert Ordnance,XM4 Rifle,1520
133442,Kaiser Defense,Calguns.Net,1520
133445,Kaiser Defense,KR5,1520
133446,Kaiser Military Technologies,KR7,1520
133449,JD Machine,PR3,1520
133451,Rocky Point Guns,LE15,1520
133460,Spirit Gun Manufacturing Company,SGM9,1520
133485,Holland Gunworks,HGW15,1520
133657,JC Weaponry,JC Weaponry,1520
133722,NoDak Spud,NDS-16A1,1520
133723,NoDak Spud,NDS-601,1520
133724,NoDak Spud,NDS-635,1520
133823,McKay Enterprises,RM16A2,1520
134596,Schmeisser,AR15,1520
134801,Stillers Precision Firearms,Predator XT,1520
134882,American Precision Arms,A15,1520
135758,Spartan Precision,SP15,1520
135762,Dennys Guns,DG-AR16,1520
136808,NoDak Spud,NDS-XM16E1,1520
139299,Magpul Armament,MPLA,1520
140903,Elite Machining,GRX15,1520
140920,Interarms,ISA-15,1520
141218,NoDak Spud,NDS-16A2,1520
141240,Canstar Arms,AR 338 Lapua,1520
141521,Addax Tactical,AT-15,1520
141522,Addax Tactical,ADDAX-ZK,1520
141527,AR15 Chatterbox,CB-15,1520
141530,Vidalia Police Supply,VPS-15,1520
141532,Conquest Arms,CA-15,1520
141540,Territorial Gunsmiths,SLR15,1520
141541,Performance Engineering,SOT-15,1520
141600,Special Ops Tactical,SO15,1520
142065,Iron Ridge Arms,IRA-10D,1520
142801,SMOS,Rogue-SS,1520
142801,SMOS,Rogue-SS,1520
142805,Alamo Tactical,AT-15,1520
143080,Red Stag Technologies,Red Stag,1520
143383,Manta Machining,PA15,1520
143384,Manta Machining,JH 308-F2,1520
143419,Northtech Defense,NT15S,1520
143421,MGO,Zombie,1520
143422,Dane Armory,DAR-15,1520
143562,UT Arms,GEN-1AR,1520
143567,CMT,LT-15,1520
143572,Centurion Tactical,CT-15,1520
143589,RGM Incorporated,Marksman,1520
143659,Talon Arms,TA-15,1520
143661,Grande Armeria Camuna (GAC),GAC-15,1520
144064,Bartlett Enterprises,1202009,1520
144089,Tom Sawyer,M4-Z1,1520
144090,Tom Sawyer,Jolly Roger,1520
144101,EDs Tactical Armory,2A,1520
144117,AR15.Com,ARFCOM,1520
144118,AR15.Com,AR15.Com,1520
144125,SWAT Firearms,SF-15,1520
144503,Black Rifle Company,BRC15B,1520
144536,RGuns,TRR15,1520
144539,RGuns,TRR15 Pistol,1520
144546,WMA,WMA-15,1520
144607,Black Weapons Armory,BWA-15,1520
144625,Battle Rifle Company,BR16,1520
144626,Battle Rifle Company,BR308,1520
144659,Wolverine Tactical Firearms,WT-15,1520
144660,Wolverine Tactical Firearms,WAR-15,1520
144685,GT Virtual Concepts,GT15,1520
144687,Sniper Central,SI-C,1520
144688,Joe Firearms,JOE-15,1520
147566,Battle Rifle Company,BR15,1520
147947,Defiance Machine,XG14,1520
148701,Airtronic,DMR,1520
148719,Area 53,El Jefe,1520
148953,Jesse James Firearms Unlimited,M4 Carbine,1520
149318,Century International Arms,Centurion 15 Sporter,1520
